O_CUSTKEY,RECENCY,FREQUENCY,MONETARY,R,F,M,RFM,RFM_SEGMENT
146675,169,3,426694.30000,5,1,1,7,Potential
91130,20,5,427095.23000,1,1,1,3,Need Attention
57257,11,3,427317.59000,1,1,1,3,Need Attention
88244,121,6,427520.30000,4,1,1,6,Need Attention
21725,24,4,428519.81000,2,1,1,4,Need Attention
115415,161,3,429030.77000,5,1,1,7,Potential
83306,18,6,429070.40000,1,1,1,3,Need Attention
4406,28,5,430350.08000,2,1,1,4,Need Attention
20969,95,4,430490.62000,4,1,1,6,Need Attention
101258,150,4,430589.04000,5,1,1,7,Potential
135359,111,3,430787.57000,4,1,1,6,Need Attention
71801,50,4,431628.55000,2,1,1,4,Need Attention
28874,61,4,434282.34000,3,1,1,5,Need Attention
131528,149,5,435245.42000,5,1,1,7,Potential
77231,94,6,437001.44000,4,1,1,6,Need Attention
30431,68,3,437131.59000,3,1,1,5,Need Attention
94496,134,5,437239.86000,5,1,1,7,Potential
132965,47,5,440795.28000,2,1,1,4,Need Attention
130496,177,7,440961.34000,5,1,1,7,Potential
61613,77,6,441086.19000,3,1,1,5,Need Attention
33539,172,4,441437.21000,5,1,1,7,Potential
122090,43,3,441567.73000,2,1,1,4,Need Attention
92561,6,5,442095.39000,1,1,1,3,Need Attention
90947,10,5,442595.32000,1,1,1,3,Need Attention
46655,161,5,443039.99000,5,1,1,7,Potential
14249,136,3,443510.97000,5,1,1,7,Potential
86162,36,3,444862.60000,2,1,1,4,Need Attention
88478,160,3,444864.32000,5,1,1,7,Potential
68087,112,5,445533.93000,4,1,1,6,Need Attention
64844,151,5,447506.40000,5,1,1,7,Potential
32471,94,2,447676.30000,4,1,1,6,Need Attention
15626,11,5,448265.28000,1,1,1,3,Need Attention
49481,163,3,448410.05000,5,1,1,7,Potential
34328,111,5,448444.88000,4,1,1,6,Need Attention
126653,59,8,448508.46000,3,1,1,5,Need Attention
89453,57,5,448815.28000,3,1,1,5,Need Attention
110501,126,7,449789.68000,5,1,1,7,Potential
81509,94,6,452193.34000,4,1,1,6,Need Attention
60590,83,3,452693.59000,4,1,1,6,Need Attention
35720,73,6,454812.83000,3,1,1,5,Need Attention
99443,104,6,455603.15000,4,1,1,6,Need Attention
95453,170,5,458080.71000,5,1,1,7,Potential
23498,68,3,458280.16000,3,1,1,5,Need Attention
144434,53,6,458723.71000,3,1,1,5,Need Attention
40100,113,4,459649.16000,4,1,1,6,Need Attention
143363,167,4,459923.53000,5,1,1,7,Potential
5027,151,5,460102.38000,5,1,1,7,Potential
103679,83,4,460473.62000,4,1,1,6,Need Attention
57128,6,6,461619.34000,1,1,1,3,Need Attention
135029,63,5,462880.36000,3,1,1,5,Need Attention
111848,179,4,462935.19000,5,1,1,7,Potential
25655,148,4,463699.75000,5,1,1,7,Potential
73751,78,6,463705.44000,3,1,1,5,Need Attention
138332,96,5,463916.81000,4,1,1,6,Need Attention
132986,9,3,464932.97000,1,1,1,3,Need Attention
103250,137,4,465806.81000,5,1,1,7,Potential
141698,85,4,466013.76000,4,1,1,6,Need Attention
65891,116,5,467390.37000,4,1,1,6,Need Attention
19139,8,8,467716.49000,1,1,1,3,Need Attention
24308,19,3,469656.00000,1,1,1,3,Need Attention
105161,39,4,470103.55000,2,1,1,4,Need Attention
60332,16,3,471204.34000,1,1,1,3,Need Attention
80303,71,5,472614.78000,3,1,1,5,Need Attention
89069,158,6,472691.62000,5,1,1,7,Potential
78419,67,5,475045.94000,3,1,1,5,Need Attention
14072,21,3,476394.46000,1,1,1,3,Need Attention
113789,155,5,476799.25000,5,1,1,7,Potential
141095,82,5,478091.35000,3,1,1,5,Need Attention
56204,95,6,478729.52000,4,1,1,6,Need Attention
66206,110,5,478995.91000,4,1,1,6,Need Attention
11135,117,6,479017.32000,4,1,1,6,Need Attention
43316,165,3,479140.64000,5,1,1,7,Potential
95804,126,5,479564.59000,5,1,1,7,Potential
89819,58,7,479628.95000,3,1,1,5,Need Attention
10022,161,4,480486.39000,5,1,1,7,Potential
27383,104,5,480827.80000,4,1,1,6,Need Attention
67043,31,7,484110.75000,2,1,1,4,Need Attention
146825,119,5,484695.37000,4,1,1,6,Need Attention
134648,120,5,484985.83000,4,1,1,6,Need Attention
129260,123,4,486082.98000,4,1,1,6,Need Attention
71702,78,6,486694.86000,3,1,1,5,Need Attention
118034,178,6,488583.05000,5,1,1,7,Potential
52229,29,5,488879.38000,2,1,1,4,Need Attention
51833,83,2,489091.67000,4,1,1,6,Need Attention
133586,116,5,490382.00000,4,1,1,6,Need Attention
39965,178,6,491278.55000,5,1,1,7,Potential
59537,116,6,491500.56000,4,1,1,6,Need Attention
893,174,4,491838.19000,5,1,1,7,Potential
138128,34,4,492464.46000,2,1,1,4,Need Attention
104816,154,5,492630.72000,5,1,1,7,Potential
64895,118,8,492644.13000,4,1,1,6,Need Attention
133583,136,4,493097.00000,5,1,1,7,Potential
1193,5,6,493335.07000,1,1,1,3,Need Attention
127835,17,6,494309.90000,1,1,1,3,Need Attention
96197,16,3,495066.50000,1,1,1,3,Need Attention
87650,54,4,495996.66000,3,1,1,5,Need Attention
72647,26,6,496525.22000,2,1,1,4,Need Attention
103628,111,6,496821.26000,4,1,1,6,Need Attention
71288,112,4,497840.27000,4,1,1,6,Need Attention
33542,114,6,498058.05000,4,1,1,6,Need Attention
75578,72,4,498739.83000,3,1,1,5,Need Attention
17042,172,5,498886.15000,5,1,1,7,Potential
31724,153,6,499927.68000,5,1,1,7,Potential
109055,109,6,500061.35000,4,1,1,6,Need Attention
95798,35,3,500626.23000,2,1,1,4,Need Attention
8924,120,4,501060.31000,4,1,1,6,Need Attention
50564,68,3,501400.65000,3,1,1,5,Need Attention
81680,89,4,501502.51000,4,1,1,6,Need Attention
118550,79,4,501737.09000,3,1,1,5,Need Attention
120596,145,5,502079.18000,5,1,1,7,Potential
8969,75,5,503267.15000,3,1,1,5,Need Attention
117986,72,7,503351.04000,3,1,1,5,Need Attention
23261,64,7,503546.51000,3,1,1,5,Need Attention
65621,179,5,504656.37000,5,1,1,7,Potential
5978,46,5,505202.42000,2,1,1,4,Need Attention
58634,76,5,505357.91000,3,1,1,5,Need Attention
140033,22,4,505742.82000,1,1,1,3,Need Attention
66527,31,4,506117.05000,2,1,1,4,Need Attention
112538,141,3,506721.12000,5,1,1,7,Potential
16202,136,6,506879.64000,5,1,1,7,Potential
140222,72,5,507634.95000,3,1,1,5,Need Attention
141557,177,5,508830.07000,5,1,1,7,Potential
37700,163,3,509329.10000,5,1,1,7,Potential
67961,91,4,509369.26000,4,1,1,6,Need Attention
76352,142,4,509872.01000,5,1,1,7,Potential
26264,107,7,510008.62000,4,1,1,6,Need Attention
100892,102,5,510011.52000,4,1,1,6,Need Attention
93107,84,6,510551.49000,4,1,1,6,Need Attention
81416,115,9,512003.80000,4,1,1,6,Need Attention
127838,81,3,512299.20000,3,1,1,5,Need Attention
17972,96,3,513177.36000,4,1,1,6,Need Attention
143291,129,4,513985.52000,5,1,1,7,Potential
91562,77,4,514181.21000,3,1,1,5,Need Attention
383,153,5,514360.91000,5,1,1,7,Potential
69347,121,6,515241.41000,4,1,1,6,Need Attention
136493,112,4,515403.20000,4,1,1,6,Need Attention
126143,164,4,515468.79000,5,1,1,7,Potential
23702,120,4,515860.21000,4,1,1,6,Need Attention
58607,89,6,517223.86000,4,1,1,6,Need Attention
14141,126,5,519006.60000,5,1,1,7,Potential
67814,115,4,519139.71000,4,1,1,6,Need Attention
60035,148,5,519168.45000,5,1,1,7,Potential
16487,87,4,519469.77000,4,1,1,6,Need Attention
12116,84,5,520149.68000,4,1,1,6,Need Attention
87560,158,5,520276.52000,5,1,1,7,Potential
142697,86,4,520723.35000,4,1,1,6,Need Attention
4433,150,5,521140.32000,5,1,1,7,Potential
111947,144,5,522715.47000,5,1,1,7,Potential
56753,98,4,522912.36000,4,1,1,6,Need Attention
118478,78,6,522945.83000,3,1,1,5,Need Attention
48089,174,8,522965.03000,5,1,1,7,Potential
104738,139,5,524009.46000,5,1,1,7,Potential
56180,24,5,524115.13000,2,1,1,4,Need Attention
70556,35,7,525012.63000,2,1,1,4,Need Attention
5348,42,7,525286.56000,2,1,1,4,Need Attention
115145,16,5,525790.16000,1,1,1,3,Need Attention
35906,134,8,525912.38000,5,1,1,7,Potential
127391,17,4,526358.62000,1,1,1,3,Need Attention
88190,9,5,527388.67000,1,1,1,3,Need Attention
51257,23,5,527617.52000,1,1,1,3,Need Attention
86963,69,5,527655.46000,3,1,1,5,Need Attention
62261,46,4,527845.50000,2,1,1,4,Need Attention
117569,126,7,528034.01000,5,1,1,7,Potential
139430,140,4,528166.36000,5,1,1,7,Potential
88319,5,7,528985.44000,1,1,1,3,Need Attention
148433,11,5,529081.48000,1,1,1,3,Need Attention
40346,178,6,529287.56000,5,1,1,7,Potential
2312,86,3,530206.54000,4,1,1,6,Need Attention
133562,32,6,530911.11000,2,1,1,4,Need Attention
84560,34,6,531395.14000,2,1,1,4,Need Attention
114647,159,4,531716.56000,5,1,1,7,Potential
136736,76,4,532035.15000,3,1,1,5,Need Attention
134792,134,4,532222.23000,5,1,1,7,Potential
68348,79,4,532782.97000,3,1,1,5,Need Attention
54104,2,6,533036.18000,1,1,1,3,Need Attention
130682,34,6,536486.29000,2,1,1,4,Need Attention
5201,51,4,536908.23000,3,1,1,5,Need Attention
26141,123,8,537428.62000,4,1,1,6,Need Attention
1628,164,6,537836.85000,5,1,1,7,Potential
26456,92,5,537955.64000,4,1,1,6,Need Attention
7046,67,5,537969.48000,3,1,1,5,Need Attention
45740,6,6,538011.96000,1,1,1,3,Need Attention
77924,137,7,538733.23000,5,1,1,7,Potential
134912,156,4,538862.34000,5,1,1,7,Potential
133214,140,6,539646.29000,5,1,1,7,Potential
120176,148,5,540030.31000,5,1,1,7,Potential
137594,94,4,540531.10000,4,1,1,6,Need Attention
55547,137,5,540577.03000,5,1,1,7,Potential
84239,49,6,541655.93000,2,1,1,4,Need Attention
50102,143,4,542054.14000,5,1,1,7,Potential
17738,26,5,542126.79000,2,1,1,4,Need Attention
32288,57,6,542481.18000,3,1,1,5,Need Attention
114797,152,6,542892.21000,5,1,1,7,Potential
90422,169,4,543111.45000,5,1,1,7,Potential
21881,53,6,543254.98000,3,1,1,5,Need Attention
36839,57,5,543424.58000,3,1,1,5,Need Attention
14024,11,4,544426.36000,1,1,1,3,Need Attention
63245,159,6,544663.14000,5,1,1,7,Potential
37787,178,5,544669.09000,5,1,1,7,Potential
83852,14,6,545267.94000,1,1,1,3,Need Attention
15527,26,5,547330.94000,2,1,1,4,Need Attention
144257,79,6,547571.19000,3,1,1,5,Need Attention
79658,74,4,547734.65000,3,1,1,5,Need Attention
140798,15,6,547864.57000,1,1,1,3,Need Attention
101225,124,6,547906.14000,4,1,1,6,Need Attention
55466,129,3,549436.80000,5,1,1,7,Potential
47624,177,6,549586.00000,5,1,1,7,Potential
47282,113,4,549739.49000,4,1,1,6,Need Attention
86882,56,5,549767.14000,3,1,1,5,Need Attention
117608,175,5,550116.85000,5,1,1,7,Potential
56093,31,6,550593.39000,2,1,1,4,Need Attention
58619,2,7,550721.49000,1,1,1,3,Need Attention
83231,133,6,551208.30000,5,1,1,7,Potential
93512,80,5,551488.96000,3,1,1,5,Need Attention
122141,71,4,551888.87000,3,1,1,5,Need Attention
148265,136,4,552194.53000,5,1,1,7,Potential
140960,129,6,553569.78000,5,1,1,7,Potential
131720,26,6,553690.79000,2,1,1,4,Need Attention
120089,13,4,553696.88000,1,1,1,3,Need Attention
120710,8,5,553737.20000,1,1,1,3,Need Attention
114506,107,3,553909.38000,4,1,1,6,Need Attention
62957,19,5,554033.79000,1,1,1,3,Need Attention
127061,106,5,554532.04000,4,1,1,6,Need Attention
48917,27,6,555369.50000,2,1,1,4,Need Attention
94655,115,4,555507.04000,4,1,1,6,Need Attention
115535,43,3,556151.74000,2,1,1,4,Need Attention
99395,171,5,556445.04000,5,1,1,7,Potential
143666,49,7,556610.40000,2,1,1,4,Need Attention
105599,109,5,556742.74000,4,1,1,6,Need Attention
34862,121,6,557326.85000,4,1,1,6,Need Attention
26156,50,4,558011.89000,2,1,1,4,Need Attention
85199,20,6,558862.75000,1,1,1,3,Need Attention
18902,99,4,558969.33000,4,1,1,6,Need Attention
72359,69,8,559670.85000,3,1,1,5,Need Attention
28616,96,6,559730.85000,4,1,1,6,Need Attention
80153,33,5,560205.21000,2,1,1,4,Need Attention
119387,8,6,561289.48000,1,1,1,3,Need Attention
118148,115,5,561956.27000,4,1,1,6,Need Attention
34754,127,5,562086.71000,5,1,1,7,Potential
134468,178,4,562119.01000,5,1,1,7,Potential
85673,4,4,562352.39000,1,1,1,3,Need Attention
120053,12,5,563264.21000,1,1,1,3,Need Attention
123059,34,8,563896.28000,2,1,1,4,Need Attention
142949,119,4,565899.52000,4,1,1,6,Need Attention
85667,75,5,566357.85000,3,1,1,5,Need Attention
117578,160,4,566597.38000,5,1,1,7,Potential
133721,27,6,566664.45000,2,1,1,4,Need Attention
125588,99,3,567035.63000,4,1,1,6,Need Attention
46022,33,4,567103.07000,2,1,1,4,Need Attention
115424,128,5,567451.54000,5,1,1,7,Potential
100601,24,4,567934.39000,2,1,1,4,Need Attention
20486,31,7,568068.02000,2,1,1,4,Need Attention
123263,109,5,568656.38000,4,1,1,6,Need Attention
30746,134,7,568790.15000,5,1,1,7,Potential
76568,101,6,568797.99000,4,1,1,6,Need Attention
51704,62,5,569046.45000,3,1,1,5,Need Attention
112331,145,3,569319.15000,5,1,1,7,Potential
144455,142,3,569476.40000,5,1,1,7,Potential
126113,99,6,569919.12000,4,1,1,6,Need Attention
104549,8,6,570737.06000,1,1,1,3,Need Attention
84005,20,7,570964.04000,1,1,1,3,Need Attention
62798,17,6,571552.50000,1,1,1,3,Need Attention
120881,134,5,572555.74000,5,1,1,7,Potential
138377,154,5,572557.51000,5,1,1,7,Potential
126458,51,6,572734.76000,3,1,1,5,Need Attention
100178,79,4,574728.68000,3,1,1,5,Need Attention
44300,86,4,574850.08000,4,1,1,6,Need Attention
121550,57,7,575427.94000,3,1,1,5,Need Attention
111236,123,5,576102.94000,4,1,1,6,Need Attention
78935,67,5,576116.77000,3,1,1,5,Need Attention
3734,132,6,577234.95000,5,1,1,7,Potential
114344,106,5,577454.94000,4,1,1,6,Need Attention
59405,93,7,577608.89000,4,1,1,6,Need Attention
55964,120,5,578232.42000,4,1,1,6,Need Attention
1574,60,4,578564.14000,3,1,1,5,Need Attention
107591,5,5,578806.47000,1,1,1,3,Need Attention
107942,123,6,579473.43000,4,1,1,6,Need Attention
87482,36,5,580905.68000,2,1,1,4,Need Attention
140036,168,3,580956.51000,5,1,1,7,Potential
119426,135,5,581711.75000,5,1,1,7,Potential
90248,60,6,582040.66000,3,1,1,5,Need Attention
51458,70,8,582204.34000,3,1,1,5,Need Attention
102389,118,5,582321.27000,4,1,1,6,Need Attention
12917,16,6,582323.78000,1,1,1,3,Need Attention
62843,69,5,582757.00000,3,1,1,5,Need Attention
48185,175,5,583024.23000,5,1,1,7,Potential
47174,151,6,583217.60000,5,1,1,7,Potential
65855,172,6,583330.30000,5,1,1,7,Potential
147458,23,7,583333.86000,1,1,1,3,Need Attention
53693,10,5,584043.99000,1,1,1,3,Need Attention
78773,26,4,584053.65000,2,1,1,4,Need Attention
100319,9,5,584117.50000,1,1,1,3,Need Attention
116654,65,5,584896.08000,3,1,1,5,Need Attention
123704,55,3,584984.57000,3,1,1,5,Need Attention
64253,63,4,585191.95000,3,1,1,5,Need Attention
130934,165,7,585417.09000,5,1,1,7,Potential
142004,125,6,585460.25000,5,1,1,7,Potential
69350,84,6,585732.45000,4,1,1,6,Need Attention
76799,5,3,585895.22000,1,1,1,3,Need Attention
99899,114,8,586586.35000,4,1,1,6,Need Attention
4967,139,5,587152.66000,5,1,1,7,Potential
52232,148,5,587314.97000,5,1,1,7,Potential
114257,71,7,587602.68000,3,1,1,5,Need Attention
62510,58,9,587629.66000,3,1,1,5,Need Attention
16205,123,7,587773.07000,4,1,1,6,Need Attention
18398,146,7,588088.86000,5,1,1,7,Potential
136874,63,5,588234.56000,3,1,1,5,Need Attention
31763,123,5,588418.99000,4,1,1,6,Need Attention
7115,1,4,588996.06000,1,1,1,3,Need Attention
112700,26,8,589430.03000,2,1,1,4,Need Attention
4922,98,7,589603.46000,4,1,1,6,Need Attention
53657,166,6,590113.21000,5,1,1,7,Potential
84164,144,8,591157.54000,5,1,1,7,Potential
21758,38,4,591185.66000,2,1,1,4,Need Attention
48842,62,6,591608.98000,3,1,1,5,Need Attention
29357,180,4,592044.73000,5,1,1,7,Potential
120845,93,8,592677.65000,4,1,1,6,Need Attention
16793,116,6,592808.18000,4,1,1,6,Need Attention
28082,89,4,592988.70000,4,1,1,6,Need Attention
109913,26,6,593002.78000,2,1,1,4,Need Attention
61433,71,5,593728.61000,3,1,1,5,Need Attention
27485,111,7,593756.36000,4,1,1,6,Need Attention
72281,180,5,593895.02000,5,1,1,7,Potential
74636,154,5,594147.55000,5,1,1,7,Potential
49205,91,5,594185.05000,4,1,1,6,Need Attention
141476,100,5,594672.98000,4,1,1,6,Need Attention
92084,64,6,595355.58000,3,1,1,5,Need Attention
94376,111,5,595531.15000,4,1,1,6,Need Attention
70100,69,6,596057.83000,3,1,1,5,Need Attention
27677,6,6,596291.83000,1,1,1,3,Need Attention
70730,48,5,596792.47000,2,1,1,4,Need Attention
85841,175,4,596878.03000,5,1,1,7,Potential
3119,102,5,596885.16000,4,1,1,6,Need Attention
92618,24,5,597507.81000,2,1,1,4,Need Attention
73403,133,5,597658.73000,5,1,1,7,Potential
129803,166,6,597845.20000,5,1,1,7,Potential
98726,37,5,597858.48000,2,1,1,4,Need Attention
18308,115,5,597946.94000,4,1,1,6,Need Attention
110048,86,5,597947.05000,4,1,1,6,Need Attention
62642,69,5,597948.51000,3,1,1,5,Need Attention
51191,12,5,598828.60000,1,1,1,3,Need Attention
113540,84,4,598921.11000,4,1,1,6,Need Attention
123320,14,6,599048.63000,1,1,1,3,Need Attention
12328,21,8,599415.50000,1,1,1,3,Need Attention
134306,21,5,599782.77000,1,1,1,3,Need Attention
51176,179,6,600069.22000,5,1,1,7,Potential
24782,153,3,600102.87000,5,1,1,7,Potential
24074,171,4,600107.95000,5,1,1,7,Potential
65003,68,4,600809.08000,3,1,1,5,Need Attention
97649,78,6,601667.47000,3,1,1,5,Need Attention
118553,43,4,601705.77000,2,1,1,4,Need Attention
30734,100,6,601889.84000,4,1,1,6,Need Attention
41411,65,6,602020.18000,3,1,1,5,Need Attention
28097,131,7,602812.24000,5,1,1,7,Potential
136163,29,8,603369.08000,2,1,1,4,Need Attention
36590,115,6,603758.29000,4,1,1,6,Need Attention
122501,1,5,603780.98000,1,1,1,3,Need Attention
41735,60,6,604123.14000,3,1,1,5,Need Attention
130406,33,6,604415.75000,2,1,1,4,Need Attention
70877,15,6,604548.82000,1,1,1,3,Need Attention
93869,114,5,605122.43000,4,1,1,6,Need Attention
109439,78,6,605507.26000,3,1,1,5,Need Attention
51851,130,5,606171.27000,5,1,1,7,Potential
107663,82,5,606367.35000,3,1,1,5,Need Attention
120299,66,4,606498.95000,3,1,1,5,Need Attention
13526,100,5,607211.64000,4,1,1,6,Need Attention
77759,11,6,607665.14000,1,1,1,3,Need Attention
42302,1,6,608230.00000,1,1,1,3,Need Attention
59237,113,6,608719.62000,4,1,1,6,Need Attention
37043,154,4,609017.45000,5,1,1,7,Potential
23396,74,5,609266.08000,3,1,1,5,Need Attention
120701,10,8,610058.02000,1,1,1,3,Need Attention
47123,59,6,610377.84000,3,1,1,5,Need Attention
31925,86,6,610918.69000,4,1,1,6,Need Attention
70757,154,6,611195.78000,5,1,1,7,Potential
18428,14,5,611407.17000,1,1,1,3,Need Attention
100835,177,5,611532.09000,5,1,1,7,Potential
21254,11,6,611728.03000,1,1,1,3,Need Attention
48023,155,5,611914.29000,5,1,1,7,Potential
29576,157,6,611933.66000,5,1,1,7,Potential
76442,18,5,611994.81000,1,1,1,3,Need Attention
144491,113,4,612255.72000,4,1,1,6,Need Attention
28025,66,7,612924.18000,3,1,1,5,Need Attention
109601,137,6,613601.46000,5,1,1,7,Potential
132848,73,5,614234.40000,3,1,1,5,Need Attention
64871,110,6,615454.38000,4,1,1,6,Need Attention
45560,25,6,615520.52000,2,1,1,4,Need Attention
112886,40,6,615605.43000,2,1,1,4,Need Attention
32171,93,7,615992.70000,4,1,1,6,Need Attention
102869,147,5,616520.52000,5,1,1,7,Potential
86477,107,6,617450.54000,4,1,1,6,Need Attention
15926,19,4,617498.41000,1,1,1,3,Need Attention
73619,145,5,617921.70000,5,1,1,7,Potential
83222,119,5,618186.24000,4,1,1,6,Need Attention
52250,14,6,618506.78000,1,1,1,3,Need Attention
40490,76,8,619358.32000,3,1,1,5,Need Attention
26072,79,4,619447.37000,3,1,1,5,Need Attention
7865,14,8,619819.65000,1,1,1,3,Need Attention
21713,164,6,620092.28000,5,1,1,7,Potential
142763,22,5,620135.59000,1,1,1,3,Need Attention
134963,20,4,620470.11000,1,1,1,3,Need Attention
104276,148,6,621171.92000,5,1,1,7,Potential
34649,24,5,621339.52000,2,1,1,4,Need Attention
87134,100,3,621441.93000,4,1,1,6,Need Attention
119648,34,8,621533.41000,2,1,1,4,Need Attention
130694,65,7,622569.17000,3,1,1,5,Need Attention
6416,144,4,623121.91000,5,1,1,7,Potential
120716,114,5,623293.50000,4,1,1,6,Need Attention
67754,67,6,623336.14000,3,1,1,5,Need Attention
123848,26,3,623623.21000,2,1,1,4,Need Attention
18881,75,6,623652.99000,3,1,1,5,Need Attention
140297,98,8,623758.61000,4,1,1,6,Need Attention
40439,7,4,623818.88000,1,1,1,3,Need Attention
78101,89,5,624141.10000,4,1,1,6,Need Attention
14138,99,6,624514.57000,4,1,1,6,Need Attention
141236,105,9,625291.79000,4,1,1,6,Need Attention
