C_CUSTOMER_SK,C_PREFERRED_CUST_FLAG,AGE,GENDER,MARITAL_STATUS,EDUCATION_STATUS,PURCHASE_ESTIMATE,CREDIT_RATING,DEP_COUNT,DEP_EMPLOYED_COUNT,DEP_COLLEGE_COUNT,RECENCY,MONETARY,FREQUENCY
35123221,N,49,F,S,Advanced Degree,1500,Low Risk,6,2,6,156,1191800.02,39
63521525,Y,76,M,W,Secondary,9500,Low Risk,6,5,2,5,1169188.04,39
38496925,Y,49,F,D,Primary,2500,High Risk,1,0,0,43,874528.24,39
67614007,Y,48,M,S,Secondary,5500,Low Risk,3,3,0,69,1063121.02,37
44636672,Y,40,F,D,Secondary,3000,High Risk,5,0,4,64,1226450.26,43
41342296,Y,62,F,W,Advanced Degree,6500,Unknown,6,3,2,35,1113350.87,41
80692475,N,51,F,S,Unknown,3500,Low Risk,4,0,2,50,694045.00,36
81259230,N,39,M,W,4 yr Degree,5000,Low Risk,5,4,2,1,1490249.53,39
28263098,Y,54,M,U,Secondary,8000,Unknown,5,3,2,2,1035661.92,39
75707642,Y,70,F,M,2 yr Degree,7000,Good,4,1,0,29,843829.98,37
4572496,N,41,F,W,Secondary,8500,Good,4,2,2,24,998503.78,39
57985926,N,58,M,U,4 yr Degree,6000,Low Risk,4,3,1,60,987133.71,39
94482418,N,37,M,D,Advanced Degree,6500,Unknown,6,1,0,59,1025692.55,37
74612324,N,75,F,D,4 yr Degree,9000,Low Risk,6,5,2,20,979111.96,36
13588190,N,76,F,M,Secondary,7500,Low Risk,5,5,4,31,1162356.51,41
27032613,Y,66,M,S,College,2000,Good,3,3,1,176,741877.50,42
30164106,N,77,M,U,Primary,2000,High Risk,5,1,3,14,931020.78,39
66058013,Y,34,F,M,College,1500,High Risk,6,5,5,88,964530.56,37
47493603,Y,41,F,S,2 yr Degree,2500,High Risk,6,4,3,1,31543011.70,1297
23071567,Y,61,F,W,Secondary,10000,Good,6,5,5,58,938034.03,39
42977851,Y,75,F,U,Secondary,8000,Unknown,4,2,1,5,1100802.48,38
39647189,N,74,F,W,2 yr Degree,4500,Unknown,5,2,1,10,1305512.93,39
52959458,N,47,M,M,Secondary,2500,Unknown,0,0,0,19,896971.88,37
92322020,Y,45,F,D,College,2500,High Risk,6,5,0,34,1156629.01,38
50124920,Y,72,F,W,Advanced Degree,3500,Good,6,4,2,10,1228189.42,40
73946700,Y,44,F,M,Advanced Degree,10000,Unknown,3,2,1,23,802421.79,37
85769946,Y,59,M,W,4 yr Degree,9500,Unknown,6,4,0,80,1057014.33,40
90588169,Y,27,M,S,Secondary,9000,Good,1,1,1,28,758857.93,40
15078390,N,77,F,S,Unknown,3500,Unknown,6,0,5,7,794036.78,37
97854811,Y,34,F,U,College,6500,Good,3,3,1,150,661124.93,38
60537111,N,77,M,M,Secondary,2500,High Risk,6,1,6,158,1216929.26,38
70240101,Y,50,M,U,Unknown,1500,Good,3,1,2,42,1158573.06,37
60521652,N,65,M,W,4 yr Degree,1500,Good,4,4,4,18,1380338.90,36
63981584,N,46,F,D,Unknown,7000,Unknown,6,0,5,11,1283308.92,37
75898243,N,43,F,M,2 yr Degree,9000,Unknown,5,0,3,143,910173.90,39
85861548,Y,48,M,S,Advanced Degree,8000,Unknown,6,0,3,33,1191954.24,36
8417865,N,74,M,D,Secondary,5000,Low Risk,4,3,1,54,958793.44,36
49115926,N,38,F,U,Primary,5500,Unknown,3,3,3,22,1323126.78,42
3888204,N,37,F,S,College,6500,Low Risk,5,1,4,23,851295.30,38
37914205,Y,76,M,S,Secondary,3000,Unknown,2,1,1,65,722706.80,37
35237647,N,59,M,M,Advanced Degree,4500,Low Risk,6,3,3,54,790217.71,36
79278557,Y,63,F,M,Secondary,8000,Low Risk,4,2,4,18,1160223.68,38
73258376,Y,38,F,U,Unknown,8000,Good,6,4,2,13,871536.84,40
94452946,N,53,M,M,Advanced Degree,1500,Unknown,6,0,0,67,1360579.58,38
59464745,N,41,F,S,Advanced Degree,4500,Unknown,5,2,4,252,1149907.60,37
11889196,N,42,M,D,4 yr Degree,10000,Low Risk,6,5,1,30,758909.05,39
74124573,Y,50,F,M,Advanced Degree,6500,Low Risk,5,1,5,14,1492565.64,36
21969958,N,68,F,M,College,4500,Unknown,6,3,1,262,986677.27,37
18712633,N,35,M,U,Secondary,2500,Good,5,2,4,58,766995.54,39
24845734,Y,38,F,S,Advanced Degree,1500,Good,6,0,1,116,1002477.79,39
24547059,Y,54,M,M,College,9000,Unknown,4,1,3,21,1245958.60,40
97872804,N,34,M,D,Secondary,6000,Good,5,3,2,37,1336481.08,38
5902703,Y,72,M,W,4 yr Degree,5000,High Risk,4,1,1,150,764767.18,43
49421790,Y,66,F,M,Advanced Degree,6500,Good,6,1,0,20,1261961.85,35
58846095,N,65,M,M,College,9000,High Risk,6,6,0,27,978798.83,40
12495651,Y,60,M,S,Unknown,1500,Good,4,0,3,14,1203873.78,40
20060387,N,77,F,U,Advanced Degree,10000,Good,5,4,0,72,1163574.22,37
92515518,N,37,F,W,2 yr Degree,5500,Unknown,6,5,6,0,1108589.39,40
59086280,Y,50,F,S,Secondary,1500,Low Risk,3,3,0,24,902453.45,39
93099935,Y,78,F,W,Unknown,1500,Good,5,1,5,42,700844.60,38
84739601,N,36,F,S,Secondary,2000,Unknown,3,3,3,4,1003752.69,39
44247396,N,34,F,S,Advanced Degree,3000,Low Risk,6,0,5,14,1022917.70,44
8276689,,54,F,S,Unknown,5500,Unknown,6,3,4,1,1076467.39,39
33450021,Y,65,F,U,2 yr Degree,3500,Good,1,1,0,36,1250776.13,39
94166173,N,66,F,M,Primary,9000,Low Risk,6,0,6,11,841807.50,37
72948489,N,73,M,D,Unknown,9000,High Risk,5,2,3,291,1206553.62,38
72413205,,78,M,W,2 yr Degree,7000,Unknown,4,0,2,6,878814.65,41
28976915,Y,47,F,U,Primary,6500,High Risk,6,2,6,53,1069424.78,32
68233269,Y,35,F,S,Unknown,5500,Low Risk,6,2,0,216,1007704.72,37
7433502,Y,57,F,M,4 yr Degree,8000,Low Risk,3,2,0,8,880874.87,38
26353973,N,72,M,M,Unknown,6000,Low Risk,6,4,2,15,1283654.33,35
63467716,Y,41,M,U,2 yr Degree,8500,Good,5,2,2,67,815448.72,38
41648756,N,38,F,W,2 yr Degree,500,Low Risk,6,0,0,36,848232.29,41
93385025,Y,49,F,D,College,9000,High Risk,6,6,5,21,985196.26,39
42174039,Y,56,F,S,Advanced Degree,3000,High Risk,5,3,2,83,1314675.15,42
93812957,Y,50,F,W,Advanced Degree,1500,Unknown,6,0,1,0,1168648.20,39
57836638,N,72,M,U,College,4500,Good,6,2,3,43,1315094.70,39
27817419,Y,47,F,W,Advanced Degree,5000,Unknown,6,3,0,53,1261861.33,39
70327142,Y,47,F,W,Unknown,6500,Unknown,4,1,0,122,714031.51,38
72327879,N,42,F,S,Unknown,7500,Low Risk,4,4,1,56,1080773.58,38
18450266,Y,75,F,D,Secondary,5500,High Risk,4,3,1,2,760849.88,38
34246673,N,76,F,W,Unknown,3000,Low Risk,4,4,1,158,695152.47,40
41557,N,39,F,M,Advanced Degree,6000,Unknown,5,1,0,48,956376.20,37
10046566,Y,36,F,U,College,5500,Unknown,6,1,3,68,610740.47,38
8134278,N,49,F,W,Advanced Degree,10000,Good,5,0,5,13,1334596.48,37
11228787,N,77,M,M,2 yr Degree,5500,Good,4,4,1,16,1274885.58,39
3240149,N,65,M,S,Advanced Degree,8000,Low Risk,4,3,0,11,886786.34,41
97705554,Y,57,M,U,Primary,4500,Low Risk,5,5,4,42,1187824.83,38
55021650,N,41,F,W,Secondary,4000,Low Risk,6,6,2,21,952897.47,36
97176806,Y,67,M,W,Primary,10000,High Risk,3,1,2,36,1264149.08,38
28440167,Y,43,F,M,Unknown,9500,Low Risk,5,1,4,21,1572314.01,40
21868571,N,66,F,W,4 yr Degree,2000,High Risk,5,3,2,31,1155927.76,41
17972400,N,52,M,D,Unknown,7500,Low Risk,5,3,1,91,1153131.32,39
57781067,Y,46,M,U,2 yr Degree,7000,High Risk,5,2,1,378,1237866.62,41
45706688,N,40,F,D,2 yr Degree,3000,Unknown,5,1,0,58,1329740.79,39
42926697,N,61,F,M,2 yr Degree,3500,High Risk,5,0,2,26,852692.58,38
53218532,Y,39,F,W,Primary,4500,Unknown,6,4,5,6,1179844.32,36
97564690,Y,73,M,S,2 yr Degree,6500,Unknown,4,4,1,3,1412837.54,42
60497626,Y,69,F,S,College,9000,High Risk,6,2,0,1,999520.30,39
52260650,Y,44,F,S,4 yr Degree,6000,Low Risk,6,1,1,19,1435379.68,41
62003508,N,64,M,S,Secondary,4500,High Risk,1,1,0,7,1376386.20,38
57612731,Y,46,F,W,2 yr Degree,8000,Good,4,4,0,0,1077746.95,38
21912097,N,50,F,U,Unknown,7500,Good,5,3,3,55,995688.42,38
18630846,N,62,F,W,Unknown,5500,High Risk,4,4,0,18,1314941.63,42
91292772,Y,37,F,U,Advanced Degree,4000,High Risk,5,0,4,38,597121.48,34
14826190,Y,39,F,W,Primary,2500,Unknown,3,1,2,280,731302.70,39
4500158,Y,69,F,S,Unknown,2000,Unknown,6,1,3,6,1303643.24,39
18635826,Y,62,F,S,Secondary,5000,Low Risk,4,0,3,17,931677.96,41
1700610,Y,44,M,S,Primary,4000,Low Risk,3,0,2,275,861894.71,39
24119360,Y,56,F,S,Secondary,9000,Good,2,1,0,116,1330343.84,42
77719461,N,58,F,S,Advanced Degree,4500,Unknown,5,4,5,17,1431534.97,39
37249403,Y,75,F,M,2 yr Degree,5000,Unknown,0,0,0,7,736678.84,43
6831492,Y,79,M,U,2 yr Degree,4500,Good,3,0,2,162,853841.22,41
79774284,Y,45,M,S,Primary,4000,Low Risk,5,3,5,64,1135457.36,38
53497438,N,37,M,U,Advanced Degree,6500,Good,3,2,2,2,1005497.47,37
22807117,Y,42,M,U,Secondary,5500,Low Risk,3,2,2,19,1167800.44,43
20719249,N,44,F,W,Advanced Degree,9500,Unknown,5,2,5,18,1410995.01,41
64627908,N,56,F,S,4 yr Degree,9000,High Risk,5,1,3,45,1025142.04,39
35796558,Y,54,M,W,Secondary,5000,Low Risk,6,5,0,47,899330.21,41
80705668,Y,42,M,D,2 yr Degree,9500,Low Risk,5,4,4,116,1136714.86,38
47640295,Y,58,F,S,Unknown,7000,Low Risk,2,0,0,39,1204140.20,38
62282794,N,47,M,S,Unknown,2500,Unknown,3,1,3,21,1287467.48,38
56088538,Y,40,M,S,Primary,2500,Unknown,6,6,1,12,746578.65,37
93430570,N,73,F,S,2 yr Degree,2000,Good,3,3,1,146,875594.04,36
49499762,N,73,F,W,Unknown,7000,Low Risk,5,3,1,32,1505866.71,37
29235844,Y,50,M,U,2 yr Degree,500,Low Risk,6,3,6,23,828567.91,41
87550856,Y,65,F,W,College,5500,Good,6,0,6,105,781863.26,38
60124410,Y,75,F,M,College,4500,Good,4,4,0,6,793494.57,39
90700408,Y,39,F,U,2 yr Degree,1000,High Risk,6,3,5,419,798850.10,39
91803832,Y,65,F,M,Primary,7000,Unknown,6,3,1,130,1294574.09,37
88228528,N,37,F,M,Advanced Degree,1000,High Risk,1,1,0,12,959457.24,36
61503686,Y,59,F,U,Primary,4000,High Risk,6,2,1,4,871410.92,37
79663712,N,63,F,S,Primary,1000,Good,5,2,5,44,705591.78,36
8735362,N,54,M,W,Secondary,8500,Unknown,4,1,0,0,1134855.02,42
40440751,Y,48,F,D,Unknown,2500,High Risk,6,4,3,26,1503384.80,38
21902175,Y,79,M,D,4 yr Degree,3000,High Risk,4,3,4,65,1553526.37,41
59862751,N,42,F,W,Unknown,1000,Low Risk,5,0,3,47,734403.03,33
31027908,Y,44,M,S,Secondary,3500,High Risk,6,5,6,73,1401328.65,38
7195366,Y,54,F,W,Secondary,8500,High Risk,6,5,4,31,758076.90,35
69202587,N,64,M,S,College,500,Good,5,4,5,62,868681.98,37
18347889,N,59,F,W,Primary,2000,High Risk,4,2,2,50,911871.06,37
52013780,Y,68,F,W,Advanced Degree,9000,High Risk,6,3,0,57,35598878.17,1297
85995914,Y,44,M,S,Secondary,2500,High Risk,5,5,2,38,1257561.54,38
99434388,Y,72,F,W,College,9000,Low Risk,6,4,3,72,1295312.46,40
18629432,Y,58,F,M,2 yr Degree,1500,Good,6,4,4,14,1175520.74,39
32416853,N,77,F,W,Unknown,3000,High Risk,5,4,5,78,626205.86,36
96219888,N,74,M,D,College,1000,High Risk,4,1,4,49,837018.71,37
34182068,N,39,M,S,Unknown,4000,Unknown,6,1,0,60,1305801.62,38
44690552,N,78,F,D,Advanced Degree,8000,Unknown,4,2,2,32,937780.71,41
11160408,N,74,F,S,Unknown,8500,Unknown,5,5,0,6,1509339.02,42
53041441,Y,38,F,S,College,3000,High Risk,6,0,6,214,1230549.62,39
55290606,N,45,F,M,Advanced Degree,8500,Good,4,3,1,103,758911.25,39
9143350,Y,39,M,M,Secondary,4500,High Risk,3,0,3,27,768209.49,38
42477106,N,36,M,M,Primary,4500,Unknown,5,4,1,10,1445270.31,41
70102962,Y,66,M,U,Advanced Degree,4500,Unknown,3,3,3,48,1131146.18,41
83725876,N,36,M,U,Advanced Degree,4500,Good,6,6,0,68,969566.51,35
1204974,N,72,F,D,4 yr Degree,3500,Good,4,3,0,36,1425217.89,40
15163187,Y,55,M,M,Secondary,8000,High Risk,3,3,2,367,1379871.94,40
20855644,Y,72,M,S,College,2000,Good,6,1,2,6,1032074.75,40
64125952,Y,65,F,M,Secondary,2500,Low Risk,6,4,5,1,1438586.76,40
36196148,Y,52,M,W,2 yr Degree,5500,Low Risk,5,1,3,61,715840.97,39
50859934,N,41,F,M,College,2000,High Risk,3,0,0,414,976387.40,35
65554730,N,74,F,D,2 yr Degree,5500,Good,5,3,0,28,839094.45,38
268163,N,38,F,S,Unknown,4000,Unknown,3,0,3,40,1384611.12,38
40430999,Y,67,F,S,Secondary,9500,Unknown,4,3,1,38,1461867.38,41
6304094,Y,63,F,W,Advanced Degree,4000,Unknown,5,2,4,19,1030753.19,39
31468109,Y,78,F,W,Secondary,3000,Low Risk,6,3,3,13,1252826.80,38
16078895,,74,M,U,Unknown,4000,Good,1,1,0,3,762116.33,35
79576473,N,61,M,U,2 yr Degree,6000,High Risk,5,2,5,93,1247338.41,36
38196021,N,46,M,S,Primary,4500,Good,6,1,1,53,888949.64,37
32694485,Y,53,M,U,College,5000,High Risk,5,1,5,44,1101071.23,43
95902635,N,64,F,D,2 yr Degree,3500,High Risk,0,0,0,94,936092.43,37
45487446,N,69,M,D,4 yr Degree,4000,Unknown,4,1,0,381,853069.74,39
6629297,Y,47,F,U,Advanced Degree,9500,Unknown,6,5,1,51,1011266.01,41
58389265,N,61,M,M,Secondary,9500,Low Risk,4,3,2,23,1532090.36,41
71901727,N,73,M,M,2 yr Degree,5000,Unknown,3,2,0,44,1047649.99,37
89294549,N,61,F,M,Unknown,2000,Low Risk,4,0,0,10,1293853.75,39
71105459,N,35,F,M,Secondary,5500,High Risk,5,1,4,63,841965.48,39
26703213,Y,73,M,S,Unknown,5500,Unknown,3,0,1,13,1378532.32,41
43191966,Y,74,M,W,College,9500,High Risk,2,0,2,31,962369.45,43
78730932,Y,76,M,U,Secondary,500,Good,6,1,1,38,714807.81,40
498323,N,34,M,W,2 yr Degree,8000,Unknown,1,0,0,119,1565807.99,40
86215509,N,58,F,M,4 yr Degree,2500,Low Risk,4,2,2,18,1226338.63,40
79809336,N,72,F,D,Unknown,1000,High Risk,5,1,2,49,38146338.14,1300
8417377,N,37,F,W,Primary,2000,Low Risk,3,0,2,0,1074317.73,37
43343975,Y,67,F,S,Unknown,7000,High Risk,5,0,5,17,1262385.94,40
80782359,Y,35,F,M,Unknown,1500,Good,4,4,1,20,785507.16,37
41384671,Y,47,M,D,Primary,5500,High Risk,6,6,2,27,1369148.60,40
7529712,Y,67,F,S,Secondary,6000,Unknown,5,1,5,76,1020600.24,42
7580822,N,49,M,U,2 yr Degree,7000,Low Risk,4,2,1,34,965821.78,38
26961101,N,58,F,W,College,1000,Good,1,1,0,36,1013069.53,37
80147802,N,65,F,M,Primary,6000,Good,0,0,0,47,1013304.17,36
47989858,Y,51,F,U,2 yr Degree,5500,Low Risk,4,0,0,391,894237.43,39
57867395,N,39,M,U,4 yr Degree,1000,Unknown,6,5,2,3,1338988.90,37
42259629,Y,29,M,U,Secondary,9500,Unknown,0,0,0,57,1263201.87,37
44746565,N,64,M,D,Advanced Degree,7500,High Risk,5,3,2,33,1160363.09,37
22407980,N,35,M,D,Secondary,4000,Unknown,4,2,0,29,1341305.09,40
82994567,N,74,F,D,Secondary,5500,High Risk,4,4,0,35,1283392.22,38
12155823,N,52,M,M,Advanced Degree,6500,Unknown,6,4,0,31,1087796.32,36
19576048,N,34,F,W,2 yr Degree,8500,Unknown,0,0,0,63,817727.42,40
82636482,N,51,F,S,Primary,6000,Low Risk,6,1,5,25,1003667.98,41
36692002,N,39,M,S,College,3500,Good,4,2,0,100,960170.29,40
77535648,N,60,F,U,Advanced Degree,8500,Low Risk,5,1,0,15,1131629.63,36
39467867,N,60,M,U,2 yr Degree,500,Low Risk,6,2,4,80,720238.63,38
74256695,N,38,M,D,Secondary,8500,Low Risk,6,6,1,35,1381708.03,39
69078667,N,37,F,W,Secondary,3500,Good,5,5,1,103,953494.86,38
84111757,N,68,F,S,Primary,3500,Good,3,0,0,13,702700.60,37
98891547,Y,60,F,M,Primary,2000,Unknown,4,4,4,18,1058801.52,35
45199998,Y,36,F,U,College,1000,Low Risk,2,1,1,36,1561813.32,43
55607691,N,68,F,U,Primary,1000,Low Risk,6,3,2,13,1298268.07,39
97568594,Y,41,F,M,Secondary,3000,Low Risk,4,4,2,20,650438.79,37
22985405,Y,69,F,W,Primary,8000,Unknown,4,2,3,36,795596.66,40
64856808,N,43,F,S,Primary,7000,Unknown,3,2,3,35,946184.14,40
29253629,Y,53,M,M,Advanced Degree,1500,Unknown,5,4,1,70,1457623.96,41
70528219,N,52,M,U,Primary,3500,Unknown,4,3,4,47,1333186.07,36
46456392,N,38,F,U,Secondary,8500,High Risk,5,3,0,47,1134820.16,39
47745917,Y,62,F,M,Advanced Degree,4000,High Risk,6,0,4,10,1217886.08,40
14832110,N,41,F,D,4 yr Degree,7000,High Risk,4,4,0,378,662919.15,39
80861562,Y,42,F,W,Secondary,6500,Unknown,4,0,0,13,907679.22,36
81529876,Y,50,F,U,Primary,4500,Unknown,5,5,5,19,35430034.90,1295
5582543,Y,78,F,S,Advanced Degree,1500,Good,5,4,5,57,1155659.39,36
97513352,N,40,M,S,Secondary,7000,Unknown,6,2,5,2,917401.46,38
12631776,N,43,F,U,Primary,4500,High Risk,6,4,1,5,1340543.60,39
25147999,N,76,M,D,2 yr Degree,9500,High Risk,5,0,2,16,1031162.90,36
24128171,Y,74,F,S,4 yr Degree,7000,Good,6,6,2,158,706038.04,34
52181632,Y,50,M,W,College,4000,Unknown,1,1,0,48,1103807.93,36
10185216,N,71,F,U,Advanced Degree,6500,Unknown,6,4,1,58,975627.77,42
90214725,N,42,M,D,Primary,9500,Good,5,2,1,45,31003152.97,1298
79324461,Y,66,M,S,Advanced Degree,5000,High Risk,6,6,3,10,852281.21,38
49903826,Y,44,M,W,Advanced Degree,8000,High Risk,6,5,4,39,928454.18,36
27295766,Y,58,M,W,2 yr Degree,6500,Unknown,4,0,0,14,1105283.66,39
8598038,N,39,M,M,4 yr Degree,2500,Unknown,6,3,2,2,1058603.11,41
40446686,Y,71,M,M,2 yr Degree,3000,Low Risk,6,3,1,78,872145.66,40
45729351,Y,42,F,M,Primary,1500,Low Risk,5,4,3,7,1400478.45,40
10962021,Y,64,F,U,2 yr Degree,4000,High Risk,3,1,3,47,1347602.89,38
4255781,Y,62,F,W,Primary,500,Unknown,5,4,0,35,1381345.53,37
65356074,N,57,F,U,Advanced Degree,4000,High Risk,6,4,6,41,703735.34,38
60257387,Y,37,F,S,Advanced Degree,8000,High Risk,3,3,1,11,818408.38,37
33770849,Y,60,F,D,4 yr Degree,10000,Good,4,1,3,9,1189921.16,40
19920881,Y,54,F,U,Advanced Degree,8000,Low Risk,3,0,2,35,903551.05,39
33649935,N,67,M,M,4 yr Degree,9500,High Risk,6,4,3,131,1041872.32,36
29607216,Y,51,F,U,2 yr Degree,9500,Unknown,3,3,3,28,1200209.84,38
89369762,Y,68,M,D,Unknown,5000,Unknown,5,0,3,25,942382.63,39
3167349,Y,55,F,M,Advanced Degree,3000,Low Risk,4,0,3,49,1305385.05,38
29106961,Y,51,F,S,Secondary,2500,Good,6,3,6,0,1091995.28,41
63119080,N,54,F,M,College,6500,Good,4,1,1,14,1518916.81,41
45043051,Y,77,M,D,4 yr Degree,7500,Low Risk,4,2,4,86,1436551.54,37
46901072,N,57,F,D,Unknown,2000,High Risk,5,3,4,248,1046075.77,40
88890565,Y,56,M,M,Advanced Degree,3500,Good,5,2,4,16,1312162.53,38
34805400,N,74,M,W,4 yr Degree,6500,High Risk,4,4,3,17,768760.84,38
66081168,N,55,M,M,Unknown,6500,Unknown,6,0,2,43,932185.13,37
26905762,Y,57,M,W,Secondary,6500,Low Risk,6,4,6,26,1174837.03,40
13953090,Y,45,M,D,Primary,7000,Low Risk,6,5,5,16,17553521.17,1301
52188476,N,37,F,S,College,2000,Good,2,1,0,181,1291585.76,38
73683722,N,45,M,W,Primary,500,Low Risk,5,4,4,54,741370.81,38
5646600,Y,52,M,M,Secondary,1000,High Risk,6,6,1,116,1464415.65,37
18229146,N,66,F,S,Unknown,9500,Good,3,1,1,8,767450.25,39
28279428,N,64,M,U,Unknown,3000,High Risk,3,2,0,22,673112.39,37
22560321,Y,66,M,U,Secondary,5000,Unknown,3,2,0,104,897712.33,39
79328601,Y,56,M,U,Unknown,5500,Good,4,3,3,14,990327.73,40
17176229,N,71,F,W,2 yr Degree,6500,Unknown,6,3,4,53,832573.83,43
5756404,Y,70,M,M,Primary,4500,Unknown,5,4,5,0,1277287.95,37
30243776,Y,41,M,D,Primary,9000,Low Risk,2,1,0,12,1015005.39,36
71779310,N,71,M,S,College,8500,Good,6,3,2,13,637061.89,37
9135648,N,60,M,U,Secondary,1000,Unknown,6,4,5,32,832746.75,35
53276025,N,34,F,D,Secondary,8000,Good,6,5,4,34,1000004.74,37
42599638,Y,72,M,S,2 yr Degree,7500,High Risk,6,2,2,32,993370.47,41
53640193,N,72,F,D,College,8500,Good,5,3,0,88,868118.08,38
40545867,N,46,F,S,Primary,500,Low Risk,2,1,1,17,1024806.44,37
43390925,Y,70,M,D,Unknown,3000,Low Risk,5,5,4,36,815628.09,37
64976014,N,53,M,D,College,6000,Good,5,1,1,14,1139389.15,38
92934154,Y,56,M,U,4 yr Degree,6000,Good,6,6,3,9,1188239.67,37
64193456,N,72,M,W,2 yr Degree,1500,Unknown,4,0,0,7,856661.21,37
53319920,N,59,M,M,2 yr Degree,3000,Low Risk,3,2,0,67,1072431.38,37
30140385,N,38,M,D,4 yr Degree,4500,High Risk,1,1,0,33,948019.53,41
73185044,N,78,M,D,4 yr Degree,5500,Good,4,4,4,76,1032887.32,38
30542703,N,48,M,U,4 yr Degree,1500,Unknown,6,1,4,2,1009930.60,38
28926554,Y,62,M,U,Advanced Degree,5000,Unknown,4,3,3,53,991573.94,38
37036986,Y,79,F,M,College,6000,Unknown,5,3,5,31,1272060.53,43
83888688,N,31,F,D,College,8500,High Risk,0,0,0,6,764648.64,35
17488995,N,79,F,S,College,5000,High Risk,5,5,4,46,997042.96,38
86815506,N,38,M,S,2 yr Degree,9500,Good,6,2,2,10,1257868.43,39
19086278,N,39,F,M,College,4500,Low Risk,5,3,5,5,1072077.62,40
49024413,N,41,F,M,4 yr Degree,5000,High Risk,6,1,2,0,928041.59,40
85860819,N,77,M,W,4 yr Degree,5500,High Risk,6,0,3,15,1071915.32,39
89830472,N,60,M,D,Secondary,7500,Low Risk,6,1,1,753,900698.93,36
14071945,Y,79,M,M,College,7000,Good,5,5,4,45,1066103.25,40
52848187,Y,41,M,U,4 yr Degree,6000,Good,5,2,0,84,1403707.09,39
66157531,Y,49,M,S,College,500,High Risk,6,0,4,46,957029.87,37
3977999,Y,48,F,D,4 yr Degree,9500,Good,6,1,1,20,891190.06,40
45248759,Y,59,M,W,4 yr Degree,8500,Unknown,5,5,4,3,921133.78,38
12337470,Y,52,M,S,4 yr Degree,4000,Low Risk,6,6,6,33,1256808.60,42
81451192,N,55,F,U,Secondary,4500,High Risk,6,2,5,3,1285858.46,36
41985983,Y,77,F,M,2 yr Degree,1000,Unknown,1,0,1,7,1001042.27,39
94609323,N,48,M,U,College,7500,Low Risk,4,4,1,106,1151878.25,37
27202496,Y,43,M,M,Advanced Degree,4000,High Risk,5,2,5,20,1163574.44,42
54635942,Y,59,M,U,College,6000,Unknown,2,1,2,37,1237484.41,36
59061414,N,57,M,U,4 yr Degree,1000,High Risk,5,3,0,2,895099.39,36
49078318,N,61,F,W,College,7000,Good,5,5,0,16,618669.78,34
17029003,N,66,M,U,Unknown,7000,High Risk,5,4,5,53,1522760.81,39
